,0,1,2,3,4,5,6,7,8,9,10,11,12,label
32,-495.8312,-78.208954,-12.18087,-3.5763054,42.145634,-26.62902,12.899957,-16.627766,-7.5842056,34.45816,-23.10616,4.117612,1.0559282,oriolus
33,-505.92627,-65.38078,-19.98862,-1.7248147,41.95576,-25.986069,15.181158,-22.292568,-2.2750704,29.281776,-16.70644,1.3552685,-2.5283396,oriolus
34,-510.0213,-62.138832,-13.896841,-16.169142,51.15876,-26.755379,20.738976,-36.244698,10.843215,18.757957,-6.1612062,-5.687571,0.9738415,oriolus
35,-515.48505,-53.421097,-15.639706,-27.11556,58.73622,-23.013557,20.698914,-43.71502,16.022038,11.076399,8.829924,-14.215366,-1.8012202,oriolus
36,-508.07416,-66.291115,-3.8488135,-27.650894,47.135025,-5.235607,-1.7351661,-18.073517,-5.1244583,20.70488,10.676275,-23.553097,11.586824,oriolus
37,-498.4495,-86.935074,19.419886,-35.84716,40.70733,9.6087265,-26.400381,7.5198116,-21.383854,37.341618,-12.340432,-8.346833,8.316542,oriolus
38,-498.9967,-87.17125,22.981112,-42.490856,44.681274,14.12804,-37.749107,18.0803,-26.570173,40.38427,-17.883728,-1.4584992,2.136412,oriolus
39,-504.8772,-75.41283,9.402176,-34.917366,42.51908,14.590669,-36.34796,17.33144,-28.902988,41.771896,-17.097462,-0.039700866,-0.31584233,oriolus
40,-517.01544,-59.985466,-2.261105,-26.472279,36.841595,15.303158,-30.538874,8.604618,-22.884804,39.620686,-15.868122,-2.4299135,2.870327,oriolus
41,-506.79474,-73.36236,12.3771305,-45.97985,57.96096,-4.0887947,-12.913429,-3.8342283,-17.368366,35.32721,-11.663689,0.9364823,-9.806932,oriolus
42,-494.98587,-87.42857,22.451271,-54.8,67.90263,-16.93314,0.1281915,-9.583858,-18.30278,33.759777,-8.052622,4.0390606,-17.934736,oriolus
43,-483.3297,-102.76376,33.604088,-57.316643,59.14061,-1.0784677,-14.256017,-1.1721373,-22.59613,36.74544,-9.270384,0.83267254,-9.568096,oriolus
44,-482.32208,-105.48505,36.19653,-57.07333,57.413025,2.9876966,-21.44114,3.0862796,-21.344213,34.85354,-6.1097736,-6.5416837,-3.2596016,oriolus
45,-486.2006,-100.55423,31.225653,-52.227547,56.998455,-2.851993,-13.722265,-3.3682942,-15.551632,30.774754,-5.064185,-7.2728734,-0.32404292,oriolus
46,-495.62625,-87.75893,18.733768,-41.77332,53.65187,-6.2840366,-8.4021015,-10.109121,-8.51251,29.341478,-8.39424,-6.250843,0.6969234,oriolus
47,-510.0436,-69.81595,5.8965716,-34.086227,50.840027,-6.4679313,-8.64953,-8.759906,-8.340798,26.157104,-3.8852358,-8.623337,-1.2798938,oriolus
48,-519.3195,-56.188164,-4.7470074,-30.922104,52.13096,-8.670885,-4.468027,-15.2988205,-0.1754818,18.61319,-1.8676065,-7.155919,1.6656237,oriolus
49,-523.695,-50.205124,-10.33133,-26.103027,50.270172,-12.022398,1.3512123,-19.031166,2.200925,16.830484,-4.0111456,-4.085577,4.944821,oriolus
50,-524.6223,-49.918404,-8.702638,-28.28714,50.600067,-10.02101,-0.41761225,-18.505127,-0.15742993,21.491909,-7.2971935,-0.18926032,-5.0793457,oriolus
51,-518.7838,-60.183266,5.194832,-43.162666,61.098167,-13.087172,0.39549166,-23.868774,5.780232,22.080864,-11.600686,5.4753,-17.457296,oriolus
52,-509.7946,-66.94048,3.528332,-40.985115,61.71538,-15.610352,7.174376,-33.75029,11.090403,22.985577,-11.779203,2.5651007,-16.149202,oriolus
53,-511.9819,-67.881744,7.842387,-41.188545,59.924583,-17.952255,10.141562,-32.940033,11.243731,18.775238,-9.031965,4.8389454,-20.07209,oriolus
54,-501.90576,-81.60335,20.803303,-50.08358,58.07596,-6.6234217,-2.2785382,-22.117811,2.4371562,19.864233,-2.0295668,-1.6287048,-16.900352,oriolus
